line,Datum,Potrjeni ostali,Potrjeni zasciteni s cepljenjem,Potrjeni ostali 7dnevno povprecje,Potrjeni zasciteni s cepljenjem 7dnevno povprecje,Potrjeni ostali 7dnevno povprecje na 100000,Potrjeni zasciteni s cepljenjem 7dnevno povprecje na 100000
0,04-MAR-2020,1,0,#NULL!,#NULL!,#NULL!,#NULL!
1,05-MAR-2020,5,0,#NULL!,#NULL!,#NULL!,#NULL!
2,06-MAR-2020,4,0,#NULL!,#NULL!,#NULL!,#NULL!
3,07-MAR-2020,4,0,#NULL!,#NULL!,#NULL!,#NULL!
4,08-MAR-2020,5,0,#NULL!,#NULL!,#NULL!,#NULL!
5,09-MAR-2020,9,0,#NULL!,#NULL!,#NULL!,#NULL!
6,10-MAR-2020,17,0,6.43,0.00,0.30,0.00
7,11-MAR-2020,33,0,11.00,0.00,0.52,0.00
8,12-MAR-2020,48,0,17.14,0.00,0.81,0.00
9,13-MAR-2020,44,0,22.86,0.00,1.08,0.00
10,14-MAR-2020,30,0,26.57,0.00,1.26,0.00
11,15-MAR-2020,35,0,30.86,0.00,1.46,0.00
12,16-MAR-2020,24,0,33.00,0.00,1.56,0.00
13,17-MAR-2020,9,0,31.86,0.00,1.51,0.00
14,18-MAR-2020,31,0,31.57,0.00,1.50,0.00
15,19-MAR-2020,21,0,27.71,0.00,1.31,0.00
16,20-MAR-2020,27,0,25.29,0.00,1.20,0.00
17,21-MAR-2020,36,0,26.14,0.00,1.24,0.00
18,22-MAR-2020,33,0,25.86,0.00,1.23,0.00
19,23-MAR-2020,36,0,27.57,0.00,1.31,0.00
20,24-MAR-2020,46,0,32.86,0.00,1.56,0.00
21,25-MAR-2020,45,0,34.86,0.00,1.65,0.00
22,26-MAR-2020,58,0,40.14,0.00,1.90,0.00
23,27-MAR-2020,48,0,43.14,0.00,2.05,0.00
24,28-MAR-2020,47,0,44.71,0.00,2.12,0.00
25,29-MAR-2020,24,0,43.43,0.00,2.06,0.00
26,30-MAR-2020,45,0,44.71,0.00,2.12,0.00
27,31-MAR-2020,37,0,43.43,0.00,2.06,0.00
28,01-APR-2020,50,0,44.14,0.00,2.09,0.00
29,02-APR-2020,37,0,41.14,0.00,1.95,0.00
30,03-APR-2020,39,0,39.86,0.00,1.89,0.00
31,04-APR-2020,19,0,35.86,0.00,1.70,0.00
32,05-APR-2020,21,0,35.43,0.00,1.68,0.00
33,06-APR-2020,33,0,33.71,0.00,1.60,0.00
34,07-APR-2020,36,0,33.57,0.00,1.59,0.00
35,08-APR-2020,31,0,30.86,0.00,1.46,0.00
36,09-APR-2020,34,0,30.43,0.00,1.44,0.00
37,10-APR-2020,29,0,29.00,0.00,1.38,0.00
38,11-APR-2020,16,0,28.57,0.00,1.35,0.00
39,12-APR-2020,7,0,26.57,0.00,1.26,0.00
40,13-APR-2020,8,0,23.00,0.00,1.09,0.00
41,14-APR-2020,27,0,21.71,0.00,1.03,0.00
42,15-APR-2020,21,0,20.29,0.00,0.96,0.00
43,16-APR-2020,34,0,20.29,0.00,0.96,0.00
44,17-APR-2020,13,0,18.00,0.00,0.85,0.00
45,18-APR-2020,12,0,17.43,0.00,0.83,0.00
46,19-APR-2020,5,0,17.14,0.00,0.81,0.00
47,20-APR-2020,9,0,17.29,0.00,0.82,0.00
48,21-APR-2020,9,0,14.71,0.00,0.70,0.00
49,22-APR-2020,11,0,13.29,0.00,0.63,0.00
50,23-APR-2020,7,0,9.43,0.00,0.45,0.00
51,24-APR-2020,13,0,9.43,0.00,0.45,0.00
52,25-APR-2020,8,0,8.86,0.00,0.42,0.00
53,26-APR-2020,5,0,8.86,0.00,0.42,0.00
54,27-APR-2020,4,0,8.14,0.00,0.39,0.00
55,28-APR-2020,8,0,8.00,0.00,0.38,0.00
56,29-APR-2020,9,0,7.71,0.00,0.37,0.00
57,30-APR-2020,5,0,7.43,0.00,0.35,0.00
58,01-MAY-2020,5,0,6.29,0.00,0.30,0.00
59,02-MAY-2020,0,0,5.14,0.00,0.24,0.00
60,03-MAY-2020,0,0,4.43,0.00,0.21,0.00
61,04-MAY-2020,5,0,4.57,0.00,0.22,0.00
62,05-MAY-2020,3,0,3.86,0.00,0.18,0.00
63,06-MAY-2020,1,0,2.71,0.00,0.13,0.00
64,07-MAY-2020,1,0,2.14,0.00,0.10,0.00
65,08-MAY-2020,4,0,2.00,0.00,0.09,0.00
66,09-MAY-2020,3,0,2.43,0.00,0.12,0.00
67,10-MAY-2020,2,0,2.71,0.00,0.13,0.00
68,11-MAY-2020,1,0,2.14,0.00,0.10,0.00
69,12-MAY-2020,2,0,2.00,0.00,0.09,0.00
70,13-MAY-2020,1,0,2.00,0.00,0.09,0.00
