line,Leto,Teden,Hosp_Necepljeni,Hosp_Cepljeni,Kumulativa_Cepljeni_prebivalci,Necepljeni_prebivalci,%Hosp_necepljeni,%Hosp_cepljeni
0,2021,9,222,2.0,50738,2058239,10.79,3.94
1,2021,10,169,2.0,52851,2056126,8.22,3.78
2,2021,11,227,3.0,53806,2055171,11.05,5.58
3,2021,12,262,2.0,65768,2043209,12.82,3.04
4,2021,13,294,2.0,86985,2021992,14.54,2.3
5,2021,14,336,4.0,106937,2002040,16.78,3.74
6,2021,15,301,8.0,115312,1993665,15.1,6.94
7,2021,16,282,7.0,121827,1987150,14.19,5.75
8,2021,17,246,,124747,1984230,12.4,0.0
9,2021,18,214,7.0,149078,1959899,10.92,4.7
10,2021,19,157,7.0,179470,1929507,8.14,3.9
11,2021,20,117,4.0,221196,1887781,6.2,1.81
12,2021,21,85,2.0,261394,1847583,4.6,0.77
13,2021,22,73,6.0,296670,1812307,4.03,2.02
14,2021,23,52,3.0,343083,1765894,2.94,0.87
15,2021,24,30,5.0,412484,1696493,1.77,1.21
16,2021,25,14,,493891,1615086,0.87,0.0
17,2021,26,10,1.0,563105,1545872,0.65,0.18
18,2021,27,9,,609800,1499177,0.6,0.0
19,2021,28,3,1.0,663253,1445724,0.21,0.15
20,2021,29,5,1.0,719673,1389304,0.36,0.14
21,2021,30,14,,761540,1347437,1.04,0.0
22,2021,31,12,3.0,792640,1316337,0.91,0.38
23,2021,32,27,3.0,816937,1292040,2.09,0.37
24,2021,33,32,7.0,840405,1268572,2.52,0.83
25,2021,34,84,22.0,863466,1245511,6.74,2.55
26,2021,35,121,28.0,885031,1223946,9.89,3.16
27,2021,36,140,41.0,907426,1201551,11.65,4.52
28,2021,37,155,59.0,927902,1181075,13.12,6.36
29,2021,38,165,52.0,944726,1164251,14.17,5.5
30,2021,39,185,53.0,965598,1143379,16.18,5.49
31,2021,40,138,53.0,1000574,1108403,12.45,5.3
32,2021,41,136,48.0,1021343,1087634,12.5,4.7
33,2021,42,176,96.0,1041001,1067976,16.48,9.22
34,2021,43,261,139.0,1076853,1032124,25.29,12.91
35,2021,44,343,186.0,1099561,1009416,33.98,16.92
36,2021,45,402,191.0,1111418,997559,40.3,17.19
37,2021,46,419,185.0,1118343,990634,42.3,16.54
38,2021,47,391,166.0,1124277,984700,39.71,14.77
39,2021,48,347,120.0,1131108,977869,35.49,10.61
40,2021,49,257,85.0,1138461,970516,26.48,7.47
41,2021,50,217,63.0,1146088,962889,22.54,5.5
42,2021,51,207,42.0,1157460,951517,21.75,3.63
43,2021,52,199,57.0,1169788,939189,21.19,4.87
44,2022,1,196,61.0,1178364,930613,21.06,5.18
45,2022,2,179,68.0,1185963,923014,19.39,5.73
